speaker,time,row_index
CA1HA_87,331.8805,410
CA1HA_87,331.9405,411
CA1HA_87,332.0055,412
CA1HA_87,332.0605,413
CA1HA_87,332.1005,414
CA1HA_87,332.1355,415
CA1HA_87,332.1805,416
CA1HA_87,332.2205,417
CA1HA_87,332.2805,418
CA1HA_87,332.4005,419
CA1HA_87,332.4955,420
CA1HA_87,332.5305,421
CA1HA_87,332.5905,422
CA1HA_87,332.6505,423
CA1HA_87,332.6805,424
CA1HA_87,332.7005,425
CA1HA_87,332.7355,426
CA1HA_87,332.7805,427
CA1HA_87,332.8155,428
CA1HA_87,332.8505,429
CA1HA_87,332.8855,430
CA1HA_87,332.9255,431
CA1HA_87,332.9605,432
CA1HA_87,332.9905,433
CA1HA_87,333.0205,434
CA1HA_87,333.0405,435
CA1HA_87,333.0505,436
CA1HA_87,333.0605,437
CA1HA_87,333.0705,438
CA1HA_87,333.0905,439
CA1HA_87,333.1205,440
CA1HA_87,333.1505,441
CA1HA_87,333.1805,442
CA1HA_87,333.2255,443
CA1HA_87,333.2605,444
CA1HA_87,333.2805,445
CA1HA_87,333.3205,446
CA1HA_87,333.3505,447
CA1HA_87,333.3755,448
CA1HA_87,333.4105,449
CA1HA_87,333.4455,450
CA1HA_87,333.4855,451
CA1HA_87,333.5205,452
CA1HA_87,333.5605,453
CA1HA_87,333.6355,454
CA1HA_87,333.7255,455
CA1HA_87,333.7805,456
CA1HA_87,333.8255,457
CA1HA_87,333.8855,458
CA1HA_87,333.9355,459
CA1HA_87,333.9955,460
CA1HA_87,334.0555,461
CA1HA_87,334.1055,462
CA1HA_87,334.1655,463
CA1HA_87,334.2205,464
CA1HA_87,334.2755,465
CA1HA_87,334.3355,466
CA1HA_87,334.3805,467
CA1HA_87,334.4105,468
CA1HA_87,334.4755,469
CA1HA_87,334.5405,470
CA1HA_87,334.5805,471
CA1HA_87,334.7005,472
CA1HA_87,334.8155,473
CA1HA_87,334.8755,474
CA1HA_87,335.2876,475
CA1HA_87,335.3276,476
CA1HA_87,335.3776,477
CA1HA_87,335.4176,478
CA1HA_87,335.4626,479
CA1HA_87,335.5326,480
CA1HA_87,335.5876,481
CA1HA_87,335.6176,482
CA1HA_87,335.6526,483
CA1HA_87,335.7126,484
CA1HA_87,335.7676,485
CA1HA_87,335.9876,486
CA1HA_87,336.0876,487
CA1HA_87,336.1526,488
CA1HA_87,336.2026,489
CA1HA_87,336.2476,490
CA1HA_87,336.3076,491
CA1HA_87,336.4426,492
CA1HA_87,336.5726,493
CA1HA_87,336.6826,494
CA1HA_87,336.7426,495
CA1HA_87,336.8026,496
CA1HA_87,336.8726,497
CA1HA_87,336.9226,498
CA1HA_87,336.9676,499
CA1HA_87,337.0176,500
CA1HA_87,337.1026,501
CA1HA_87,337.1676,502
CA1HA_87,337.2076,503
CA1HA_87,337.2626,504
CA1HA_87,337.3076,505
CA1HA_87,337.3476,506
CA1HA_87,337.3776,507
CA1HA_87,337.4076,508
CA1HA_87,337.4476,509
CA1HA_87,337.5076,510
CA1HA_87,337.5726,511
CA1HA_87,337.6726,512
CA1HA_87,337.7476,513
CA1HA_87,337.7576,514
CA1HA_87,337.7976,515
CA1HA_87,337.8626,516
CA1HA_87,337.9376,517
CA1HA_87,338.0526,518
CA1HA_87,338.1826,519
CA1HA_87,338.2526,520
CA1HA_87,338.3726,521
CA1HA_87,339.38,522
CA1HA_87,339.43,523
CA1HA_87,339.49,524
CA1HA_87,339.54,525
CA1HA_87,339.585,526
CA1HA_87,339.705,527
CA1HA_87,339.8,528
CA1HA_87,339.84,529
CA1HA_87,339.895,530
CA1HA_87,339.95,531
CA1HA_87,340.025,532
CA1HA_87,340.085,533
CA1HA_87,340.115,534
CA1HA_87,340.145,535
CA1HA_87,340.19,536
CA1HA_87,340.245,537
CA1HA_87,340.3,538
CA1HA_87,340.365,539
CA1HA_87,340.415,540
