speaker,previous,segment,following,onset,offset,dur,previousWord,word,followingWord,wordOnset,wordOffset,wordDur,previousText,text,followingText,textOnset,textOffset,textDur,position,wordposition,segments,previous_segs,following_segs,type,prevManner,manner,follManner,prevMannerMaj,mannerMaj,follMannerMaj,prevPlaceMaj,placeMaj,follPlaceMaj,prevVoicing,voicing,follVoicing,mid,wordMid
CA1HA_87,r,s,i,302.57,302.74,0.17000000000001592,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,s,r,i,semivowel,liquid,fricative,vowel,sonorant,obstruent,vowel,coronal,coronal,vowel,voiced,voiceless,voiced,302.655,302.66499999999996
CA1HA_87,s,i,ð,302.74,302.77,0.029999999999972715,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,i,s,ð,vowel,fricative,vowel,numeric,obstruent,vowel,numeric,coronal,vowel,numeric,voiceless,voiced,numeric,302.755,302.66499999999996
CA1HA_87,i,ð,a,302.77,302.82,0.05000000000001137,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,ð,i,a,numeric,vowel,numeric,vowel,vowel,numeric,vowel,vowel,numeric,vowel,voiced,numeric,voiced,302.79499999999996,302.66499999999996
CA1HA_87,ð,a,ð,302.82,303.02,0.19999999999998863,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,a,ð,ð,vowel,numeric,vowel,numeric,numeric,vowel,numeric,numeric,vowel,numeric,numeric,voiced,numeric,302.91999999999996,302.66499999999996
CA1HA_87,a,ð,d̪,303.02,303.03,0.009999999999990905,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,final,medial,ð,a,d̪,numeric,vowel,numeric,numeric,vowel,numeric,numeric,vowel,numeric,numeric,voiced,numeric,numeric,303.025,302.66499999999996
CA1HA_87,ð,d̪,e,303.03,303.14,0.11000000000001364,universidad,de,además,303.03,303.24,0.21000000000003638,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,initial,medial,d̪,ð,e,numeric,numeric,numeric,vowel,numeric,numeric,vowel,numeric,numeric,vowel,numeric,numeric,voiced,303.085,303.135
CA1HA_87,d̪,e,m,303.14,303.24,0.10000000000002274,universidad,de,además,303.03,303.24,0.21000000000003638,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,final,medial,e,d̪,m,vowel,numeric,vowel,nasal,numeric,vowel,sonorant,numeric,vowel,labial,numeric,voiced,voiced,303.19,303.135
CA1HA_87,e,m,i,303.24,303.32,0.07999999999998408,de,milán,además,303.24,303.73,0.4900000000000091,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,initial,medial,m,e,i,semivowel,vowel,nasal,vowel,vowel,sonorant,vowel,vowel,labial,vowel,voiced,voiced,voiced,303.28,303.485
CA1HA_87,m,i,l,303.32,303.38,0.060000000000002274,de,milán,además,303.24,303.73,0.4900000000000091,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,i,m,l,vowel,nasal,vowel,liquid,sonorant,vowel,sonorant,labial,vowel,coronal,voiced,voiced,voiced,303.35,303.485
CA1HA_87,i,l,a,303.38,303.46,0.07999999999998408,de,milán,además,303.24,303.73,0.4900000000000091,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,l,i,a,semivowel,vowel,liquid,vowel,vowel,sonorant,vowel,vowel,coronal,vowel,voiced,voiced,voiced,303.41999999999996,303.485
