speaker,time,row_index,formant_1,formant_2,formant_3,pitchValue,intensityValue
CA1HA_87,366.2481,779,0,0,0,0,0
CA1HA_87,366.31809999999996,780,0,0,0,0,0
CA1HA_87,366.3731,781,0,0,0,0,0
CA1HA_87,366.4081,782,0,0,0,0,0
CA1HA_87,366.4281,783,0,0,0,0,0
CA1HA_87,366.4481,784,0,0,0,0,0
CA1HA_87,366.47810000000004,785,0,0,0,0,0
CA1HA_87,366.5231,786,0,0,0,0,0
CA1HA_87,366.56809999999996,787,0,0,0,0,0
CA1HA_87,366.5981,788,0,0,0,0,0
CA1HA_87,366.6581,789,0,0,0,0,0
CA1HA_87,366.7081,790,0,0,0,0,0
CA1HA_87,366.7731,791,0,0,0,0,0
CA1HA_87,366.8431,792,0,0,0,0,0
CA1HA_87,366.8781,793,0,0,0,0,0
CA1HA_87,366.93309999999997,794,0,0,0,0,0
CA1HA_87,366.98810000000003,795,0,0,0,0,0
CA1HA_87,367.0481,796,0,0,0,0,0
CA1HA_87,367.0981,797,0,0,0,0,0
CA1HA_87,367.1281,798,0,0,0,0,0
CA1HA_87,367.1681,799,0,0,0,0,0
CA1HA_87,367.22810000000004,800,0,0,0,0,0
CA1HA_87,367.2831,801,0,0,0,0,0
CA1HA_87,367.3831,802,0,0,0,0,0
CA1HA_87,367.5331,803,0,0,0,0,0
CA1HA_87,367.6631,804,0,0,0,0,0
CA1HA_87,367.7581,805,0,0,0,0,0
CA1HA_87,367.82809999999995,806,0,0,0,0,0
CA1HA_87,367.8881,807,0,0,0,0,0
CA1HA_87,367.94809999999995,808,0,0,0,0,0
CA1HA_87,368.0331,809,0,0,0,0,0
CA1HA_87,368.0931,810,0,0,0,0,0
CA1HA_87,368.1731,811,0,0,0,0,0
CA1HA_87,368.2681,812,0,0,0,0,0
CA1HA_87,368.3481,813,0,0,0,0,0
CA1HA_87,368.7345,814,0,0,0,0,0
CA1HA_87,368.8095,815,0,0,0,0,0
CA1HA_87,368.8745,816,0,0,0,0,0
CA1HA_87,368.9045,817,0,0,0,0,0
CA1HA_87,368.9395,818,0,0,0,0,0
CA1HA_87,368.97450000000003,819,0,0,0,0,0
CA1HA_87,368.9995,820,0,0,0,0,0
CA1HA_87,369.0345,821,0,0,0,0,0
CA1HA_87,369.08450000000005,822,0,0,0,0,0
CA1HA_87,369.1345,823,0,0,0,0,0
CA1HA_87,369.18949999999995,824,0,0,0,0,0
CA1HA_87,369.2495,825,0,0,0,0,0
CA1HA_87,369.30949999999996,826,0,0,0,0,0
CA1HA_87,369.4145,827,0,0,0,0,0
CA1HA_87,369.5295,828,0,0,0,0,0
CA1HA_87,369.59950000000003,829,0,0,0,0,0
CA1HA_87,369.6445,830,0,0,0,0,0
CA1HA_87,369.67449999999997,831,0,0,0,0,0
CA1HA_87,369.7045,832,0,0,0,0,0
CA1HA_87,369.7345,833,0,0,0,0,0
CA1HA_87,369.7745,834,0,0,0,0,0
CA1HA_87,369.8145,835,0,0,0,0,0
CA1HA_87,369.84450000000004,836,0,0,0,0,0
CA1HA_87,369.8745,837,0,0,0,0,0
CA1HA_87,369.91949999999997,838,0,0,0,0,0
CA1HA_87,369.97450000000003,839,0,0,0,0,0
CA1HA_87,370.0245,840,0,0,0,0,0
CA1HA_87,370.08950000000004,841,0,0,0,0,0
CA1HA_87,370.1595,842,0,0,0,0,0
CA1HA_87,370.22950000000003,843,0,0,0,0,0
CA1HA_87,370.2845,844,0,0,0,0,0
CA1HA_87,370.3245,845,0,0,0,0,0
CA1HA_87,370.3645,846,0,0,0,0,0
CA1HA_87,370.3945,847,0,0,0,0,0
CA1HA_87,370.43949999999995,848,0,0,0,0,0
CA1HA_87,370.5095,849,0,0,0,0,0
CA1HA_87,370.5745,850,0,0,0,0,0
CA1HA_87,370.6395,851,0,0,0,0,0
CA1HA_87,370.71450000000004,852,0,0,0,0,0
CA1HA_87,370.79449999999997,853,0,0,0,0,0
CA1HA_87,370.9495,854,0,0,0,0,0
CA1HA_87,371.0145,855,0,0,0,0,0
CA1HA_87,371.57899999999995,856,0,0,0,0,0
CA1HA_87,371.624,857,0,0,0,0,0
CA1HA_87,371.664,858,0,0,0,0,0
CA1HA_87,371.699,859,0,0,0,0,0
CA1HA_87,371.764,860,0,0,0,0,0
CA1HA_87,371.839,861,0,0,0,0,0
CA1HA_87,371.874,862,0,0,0,0,0
CA1HA_87,371.914,863,0,0,0,0,0
CA1HA_87,371.96900000000005,864,0,0,0,0,0
